date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-08-19,AD,12,0,,,1036,53,,
2020-08-20,AD,11,0,,,1047,53,,
2020-08-21,AD,0,0,,,1047,53,,
2020-08-22,AD,0,0,,,1047,53,,
2020-08-23,AD,13,0,,,1060,53,,
2020-08-24,AD,0,0,,,1060,53,,
2020-08-25,AD,38,0,,,1098,53,,
2020-08-26,AD,13,0,,,1111,53,,
2020-08-27,AD,13,0,,,1124,53,,
2020-08-28,AD,0,0,,,1124,53,,
2020-08-29,AD,0,0,,,1124,53,,
2020-08-30,AD,52,0,,,1176,53,,
2020-08-31,AD,8,0,,,1184,53,,
2020-09-01,AD,15,0,,,1199,53,,
2020-09-02,AD,9,0,,,1208,53,,
2020-09-03,AD,7,0,,,1215,53,,
2020-09-04,AD,0,0,,,1215,53,,
2020-09-05,AD,0,0,,,1215,53,,
2020-09-06,AD,46,0,,,1261,53,,
2020-09-07,AD,0,0,,,1261,53,,
2020-09-08,AD,40,0,,,1301,53,,
2020-09-09,AD,0,0,,,1301,53,,
2020-09-10,AD,43,0,,,1344,53,,
2020-09-11,AD,0,0,,,1344,53,,
2020-09-12,AD,0,0,,,1344,53,,
2020-09-13,AD,94,0,,,1438,53,,45862
2020-09-14,AD,0,0,,,1438,53,,
2020-09-15,AD,45,0,,,1483,53,,
2020-09-16,AD,0,0,,,1483,53,,
2020-09-17,AD,81,0,,,1564,53,,
2020-09-18,AD,0,0,,,1564,53,,
2020-09-19,AD,0,0,,,1564,53,,
2020-09-20,AD,117,0,,,1681,53,,49002
2020-09-21,AD,0,0,,,1681,53,,
2020-09-22,AD,72,0,,,1753,53,,
2020-09-23,AD,0,0,,,1753,53,,
2020-09-24,AD,83,0,,,1836,53,,
2020-09-25,AD,0,0,,,1836,53,,
2020-09-26,AD,0,0,,,1836,53,,
2020-09-27,AD,130,0,,,1966,53,,53459
2020-09-28,AD,0,0,,,1966,53,,
2020-09-29,AD,84,0,,,2050,53,,
2020-09-30,AD,0,0,,,2050,53,,
2020-10-01,AD,60,0,,,2110,53,,
2020-10-02,AD,0,0,,,2110,53,,
2020-10-03,AD,0,0,,,2110,53,,
2020-10-04,AD,260,0,,,2370,53,,58303
2020-10-05,AD,0,0,,,2370,53,,
2020-10-06,AD,198,0,,,2568,53,,
2020-10-07,AD,0,1,,,2568,54,,
2020-10-08,AD,128,1,,,2696,55,,
2020-10-09,AD,0,0,,,2696,55,,
2020-10-10,AD,0,0,,,2696,55,,
2020-10-11,AD,299,2,,,2995,57,,64461
2020-10-12,AD,0,0,,,2995,57,,
2020-10-13,AD,195,2,,,3190,59,,
2020-10-14,AD,0,0,,,3190,59,,
2020-10-15,AD,187,0,,,3377,59,,
2020-10-16,AD,0,0,,,3377,59,,
2020-10-17,AD,0,0,,,3377,59,,
2020-10-18,AD,246,3,,,3623,62,,69456
2020-10-19,AD,0,0,,,3623,62,,
2020-10-20,AD,188,1,,,3811,63,,
2020-10-21,AD,0,0,,,3811,63,,
2020-10-22,AD,227,6,,,4038,69,,
2020-10-23,AD,0,0,,,4038,69,,
2020-10-24,AD,0,0,,,4038,69,,
2020-10-25,AD,287,3,,,4325,72,,79945
2020-10-26,AD,85,0,,,4410,72,,
2020-10-27,AD,107,0,,,4517,72,,
2020-10-28,AD,50,1,,,4567,73,,
2020-10-29,AD,98,2,,,4665,75,,
2020-10-30,AD,91,0,,,4756,75,,
2020-10-31,AD,69,0,,,4825,75,,
2020-11-01,AD,63,0,,,4888,75,,85772
2020-11-02,AD,22,0,,,4910,75,,
2020-11-03,AD,135,0,,,5045,75,,
2020-11-04,AD,90,0,,,5135,75,,
2020-11-05,AD,0,0,,,5135,75,,
2020-11-06,AD,184,0,,,5319,75,,
2020-11-07,AD,64,0,,,5383,75,,
2020-11-08,AD,54,0,,,5437,75,,92242
2020-11-09,AD,40,0,,,5477,75,,
2020-11-10,AD,90,0,,,5567,75,,
2020-11-11,AD,49,0,,,5616,75,,
2020-11-12,AD,109,0,,,5725,75,,
2020-11-13,AD,0,0,,,5725,75,,
2020-11-14,AD,147,1,,,5872,76,,
2020-11-15,AD,42,0,,,5914,76,,97543
2020-11-16,AD,37,0,,,5951,76,,
2020-11-17,AD,67,0,,,6018,76,,
2020-11-18,AD,48,0,,,6066,76,,
2020-11-19,AD,76,0,,,6142,76,,
2020-11-20,AD,65,0,,,6207,76,,
2020-11-21,AD,49,0,,,6256,76,,
2020-11-22,AD,48,0,,,6304,76,,103171
2020-11-23,AD,47,0,,,6351,76,,
2020-11-24,AD,77,0,,,6428,76,,
2020-11-25,AD,106,0,,,6534,76,,
2020-11-26,AD,76,0,,,6610,76,,
2020-11-27,AD,0,0,,,6610,76,,
2020-11-28,AD,102,0,,,6712,76,,
2020-11-29,AD,33,0,,,6745,76,,108660
2020-11-30,AD,45,0,,,6790,76,,
2020-12-01,AD,52,0,,,6842,76,,
2020-12-02,AD,62,1,,,6904,77,,
2020-12-03,AD,51,0,,,6955,77,,
2020-12-04,AD,50,1,,,7005,78,,
2020-12-05,AD,45,0,,,7050,78,,
2020-12-06,AD,34,0,,,7084,78,,112802
2020-12-07,AD,43,0,,,7127,78,,
2020-12-08,AD,35,0,,,7162,78,,
2020-12-09,AD,28,0,,,7190,78,,
2020-12-10,AD,46,0,,,7236,78,,
2020-12-11,AD,52,0,,,7288,78,,
2020-12-12,AD,50,1,,,7338,79,,
